Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 9-12 Months,18
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,12-15 Months,12
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,15-18 Months,101
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,18 Months +,504
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 3-6 Months,6
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 9-12 Months,21
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 3-6 Months,196
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 6-9 Months,88
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15,12-15 Months,39
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15,15-18 Months,16
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64, 0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 9-12 Months,308
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,18 Months +,1465
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 0-3 Months,14
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 6-9 Months,15
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64,15-18 Months,24
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64,18 Months +,89
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 0-3 Months,948
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 3-6 Months,350
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,12-15 Months,132
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,15-18 Months,89
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 6-9 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 0-3 Months,1007
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,15-18 Months,293
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,18 Months +,459
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 3-6 Months,32
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 6-9 Months,24
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,12-15 Months,23
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,15-18 Months,22
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1903,Paed Oncology,Child,0-15, 0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1903,Paed Oncology,Child,0-15,15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 0-3 Months,220
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 3-6 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 6-9 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64,12-15 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64,15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,200
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,134
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,74
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,9
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,15-18 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15,18 Months +,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 6-9 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15, 0-3 Months,78
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,16-64, 0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Child,0-15, 6-9 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 0-3 Months,144
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64,12-15 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64,15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 9-12 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,654
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 6-9 Months,592
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,12-15 Months,257
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Child,0-15, 0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 0-3 Months,1137
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 3-6 Months,833
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 6-9 Months,897
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15, 9-12 Months,921
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,12-15 Months,629
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 3-6 Months,14
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,12-15 Months,24
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64,15-18 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,0-15, 0-3 Months,45
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,0-15, 3-6 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,0-15,12-15 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,16-64, 0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 0-3 Months,61
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,16-64, 3-6 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,15-18 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15,15-18 Months,283
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,15-18 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 0-3 Months,26
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64, 9-12 Months,49
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,16-64,18 Months +,34
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 3-6 Months,161
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 6-9 Months,121
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15,12-15 Months,43
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,94
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 0-3 Months,149
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 6-9 Months,65
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 9-12 Months,29
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15,12-15 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 3-6 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15, 3-6 Months,12
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15, 9-12 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,15-18 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,18 Months +,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64,18 Months +,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 6-9 Months,269
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 9-12 Months,228
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 0-3 Months,736
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,15-18 Months,252
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15,18 Months +,1346
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 3-6 Months,17
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 6-9 Months,21
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,16
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,12-15 Months,25
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,16-64,18 Months +,210
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,126
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,142
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,161
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,126
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,12-15 Months,73
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 0-3 Months,18
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64, 6-9 Months,20
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,15-18 Months,29
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,16-64,18 Months +,93
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 9-12 Months,50
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15,18 Months +,62
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64,18 Months +,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,0-15, 6-9 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,0-15,15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 3-6 Months,47
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1503,Gynaecology,Child,0-15, 6-9 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 3-6 Months,440
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 6-9 Months,372
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,12-15 Months,216
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15,15-18 Months,188
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 9-12 Months,17
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,18 Months +,34
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 9-12 Months,544
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15, 0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1904,Neonatology,Child,0-15, 3-6 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15, 9-12 Months,88
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 9-12 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64,18 Months +,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,97
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64,18 Months +,43
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15, 3-6 Months,61
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64, 9-12 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 0-3 Months,293
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,260
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,141
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 6-9 Months,6
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64,15-18 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,422
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,16-64, 9-12 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 9-12 Months,208
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,16-64,18 Months +,44
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,16-64, 6-9 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 3-6 Months,76
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15,12-15 Months,74
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 0-3 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 6-9 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64,12-15 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64,15-18 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15, 3-6 Months,161
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15,12-15 Months,118
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,537
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64, 0-3 Months,62
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,48
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64,12-15 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64,18 Months +,24
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,15-18 Months,93
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15,18 Months +,294
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,16-64, 0-3 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,16-64, 9-12 Months,10
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,0-15, 0-3 Months,27
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,0-15, 3-6 Months,20
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,0-15, 9-12 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 0-3 Months,103
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 6-9 Months,105
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 9-12 Months,81
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 3-6 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,166
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15, 6-9 Months,166
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,65+,15-18 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 0-3 Months,139
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 3-6 Months,77
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 6-9 Months,54
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 9-12 Months,64
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15,12-15 Months,27
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,16-64, 0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,16-64, 6-9 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,16-64, 9-12 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Child,0-15,15-18 Months,19
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Child,0-15,18 Months +,7
